Đội,Trung vị,Giá trị trung bình ,Độ lệch chuẩn,Giá trị trung bình
all,23.0,22.583892617449663,10.05975465592089,
all,15.0,16.8165548098434,10.941236997150677,
all,1395.0,1507.1834451901566,932.2630272206621,
all,1.0,2.243847874720358,3.3450386866777837,
all,1.0,2.243847874720358,3.3450386866777837,
all,1.0,1.74496644295302,2.465422845738321,
all,3.0,3.2550335570469797,2.749205419042224,
all,0.0,0.11409395973154363,0.33875665583020353,
all,1.1,2.4619686800894853,3.645955270924465,
all,1.1,2.2881431767337808,3.16413731214799,
all,1.0,1.783668903803132,2.2241090235025522,
all,17.0,29.07606263982103,32.332819887252924,
all,45.0,60.10290827740492,58.53221998417898,
all,31.0,59.44519015659955,72.41767255692781,
all,0.07,0.1391946308724832,0.1895457755987746,
all,0.05,0.10295302013422818,0.13980208635239194,
all,0.15,0.2421029082774049,0.26496477160806997,
all,0.07,0.1306711409395973,0.17685720886274964,
all,0.15,0.23353467561521257,0.25180788112507413,
all,0.08,0.15089485458612975,0.18163335943724895,
all,0.08,0.10675615212527965,0.1071103996552559,
all,0.18,0.25785234899328857,0.24243041743618213,
all,0.08,0.14322147651006714,0.16887892732303564,
all,0.18,0.25035794183445187,0.22948735385943314,
all,1.0,2.440715883668904,3.83697463820832,
all,12.0,21.19910514541387,23.36948681498261,
all,4.0,7.250559284116331,9.160249639246524,
all,32.0,31.515500000000003,18.889791430843058,
all,1.04,1.3155480984340044,1.121523268179044,
all,0.29,0.45192393736017894,0.48071775888584484,
all,0.08,0.09490000000000003,0.1119523260511843,
all,0.27,0.2975910364145658,0.2575736411079087,
all,16.2,16.53125,4.737489626098772,
all,0.0,0.5682326621923938,1.7175361066322588,
all,0.0,0.19686800894854586,0.8688371890145107,
all,0.0,0.21923937360178972,0.9593936582293673,
all,1.1,2.4619686800894853,3.645955270924465,
all,1.1,2.2881431767337808,3.16413731214799,
all,0.09,0.102075,0.07226687087847665,
all,-0.1,-0.021252796420581657,1.396558950534633,
all,-0.1,-0.04429530201342282,1.3739104554180477,
all,494.0,637.6085011185683,555.6876209123182,
all,619.0,787.9977628635347,637.9809150570625,
all,78.6,78.27852348993288,8.467759195743152,
all,7570.0,10838.561521252797,9901.005525107143,
all,2373.0,3829.489932885906,4216.607211493561,
all,244.0,305.93064876957493,264.8396284771409,
all,276.0,342.1454138702461,283.7353166746639,
all,88.5,88.02796420581656,6.937872996869357,
all,174.0,261.3691275167785,258.32702574180905,
all,211.0,301.10738255033556,278.27177591025236,
all,84.6,82.75145413870248,10.362107209344984,
all,31.0,54.03579418344519,64.5518428856962,
all,59.0,103.26845637583892,133.204854081039,
all,53.8,54.90835214446953,15.028362258253775,
all,1.0,1.74496644295302,2.465422845738321,
all,1.0,1.783668903803132,2.2241090235025522,
all,0.9,1.582102908277405,1.9138607139589519,
all,-0.1,-0.03870246085011188,1.1217983314632587,
all,10.0,16.20805369127517,18.812364208154428,
all,30.0,47.930648769574944,51.37924696011046,
all,9.0,14.096196868008949,16.475206507050082,
all,1.0,2.8635346756152127,4.368321453499538,
all,45.0,60.10290827740492,58.53221998417898,
all,567.0,715.8366890380313,588.4723802592832,
all,37.0,69.25950782997762,86.60233192486498,
all,8.0,18.917225950783,27.988223715106656,
all,1.0,2.7181208053691277,4.521122132793299,
all,2.0,3.859060402684564,5.741853422852868,
all,10.0,26.57718120805369,42.46795381759801,
all,5.0,26.885906040268456,52.97120762064386,
all,0.0,8.465324384787472,23.28692220063431,
all,0.0,4.10738255033557,11.801311551872466,
all,0.0,2.4586129753914987,8.87898010798244,
all,0.0,0.18791946308724833,0.8420223960634045,
all,494.0,637.6085011185683,555.6876209123182,
all,2.0,2.901565995525727,3.122200595031076,
all,12.0,14.579418344519016,12.896703323392028,
all,25.0,37.769574944071586,38.17963401352043,
all,2.14,2.2602237136465324,1.491335196167776,
all,19.0,27.845637583892618,27.55151509971611,
all,0.0,3.076062639821029,7.522971378636268,
all,1.0,2.1431767337807606,3.3081082237835937,
all,1.0,2.4742729306487696,3.0176811319506704,
all,1.0,1.5190156599552573,2.186171565569361,
all,0.0,0.7114093959731543,1.110257728816072,
all,3.0,4.199105145413871,4.943465053084943,
all,0.19,0.2545637583892617,0.2716957623767183,
all,2.0,2.9731543624161074,3.5503040520171005,
all,0.0,0.2483221476510067,0.7418257709621164,
all,0.0,0.29977628635346754,0.736355675459688,
all,0.0,0.3333333333333333,0.7325447587808811,
all,0.0,0.2662192393736018,0.6411171417880569,
all,0.0,0.07829977628635347,0.2928884597299784,
all,789.0,959.751677852349,716.0992701122171,
all,36.0,105.98434004474272,200.9481275813019,
all,175.0,312.0044742729306,347.39453666616083,
all,311.0,409.12080536912754,371.17410814494787,
all,175.0,247.41834451901565,242.9878236517072,
all,23.0,41.053691275167786,48.32565889972754,
all,788.0,959.5346756152126,715.988747206787,
all,17.0,28.138702460850112,31.44563963611293,
all,8.0,12.718120805369127,14.399059761708324,
all,46.150000000000006,46.74975845410628,18.489746846301156,
all,7.0,12.400447427293065,14.56647972702825,
all,42.9,42.09734299516908,18.691812186146272,
all,455.0,551.8143176733781,439.9358687170009,
all,2319.0,2907.178970917226,2297.2434483900774,
all,1150.0,1500.062639821029,1270.2430174662309,
all,17.0,29.07606263982103,32.332819887252924,
all,14.0,20.456375838926174,19.92378411304168,
all,3.0,9.393736017897092,16.34855093349941,
all,15.0,21.659955257270692,20.57668110699973,
all,9.0,14.239373601789708,15.373918498884173,
all,513.0,631.0290827740492,512.7570702132163,
all,31.0,59.44519015659955,72.41767255692781,
all,82.0,79.9886104783599,9.11456046380642,
all,8.0,10.590604026845638,10.077066327946406,
all,5.0,5.767337807606264,5.1956784241305245,
all,20.0,21.168900804289546,9.579935243642925,
all,2.0,4.74496644295302,6.157667970158017,
all,1.3,1.3414317673378073,0.6113861404305356,
all,24.0,27.823266219239375,20.496146309078174,
all,25.0,26.997762863534675,17.74476476593445,
all,-1.0,0.825503355704698,17.596523636350163,
all,24.7,25.337583892617452,16.283247367217086,
all,-0.5,1.0673378076062638,13.14546786569621,
all,14.0,16.715883668903803,13.403442870235782,
all,12.0,16.27964205816555,15.505390697391835,
all,1.0,2.888143176733781,4.656931561328597,
all,10.0,26.57718120805369,42.46795381759801,
all,0.0,0.09843400447427293,0.32692652114999426,
all,62.0,73.5503355704698,54.864092528631865,
all,12.0,20.335570469798657,23.8028931631465,
all,15.0,20.190156599552573,21.146766478273513,
all,47.1,48.51499999999999,21.205208508325235,
Brentford,26.0,,10.34601372510205,22.96
Brentford,15.0,,10.883933112620639,16.72
Brentford,1321.0,,910.1224587933209,1496.84
Brentford,1.0,,2.684523545560118,2.04
Brentford,1.0,,2.684523545560118,2.04
Brentford,1.0,,1.503329637837291,1.52
Brentford,3.0,,2.739829678404602,3.56
Brentford,0.0,,0.27688746209726917,0.08
Brentford,1.2,,2.9572622474173644,2.404
Brentford,1.2,,2.737991964926121,2.3080000000000003
Brentford,1.5,,1.401689456810364,1.716
Brentford,16.0,,17.13641347151342,19.64
Brentford,40.0,,40.021327647476504,51.04
Brentford,32.0,,51.43711370855354,50.12
Brentford,0.08,,0.16531485111749641,0.1404
Brentford,0.09,,0.11531406390086742,0.11159999999999998
Brentford,0.15,,0.24594240518191787,0.2528
Brentford,0.08,,0.15838034389826705,0.13520000000000001
Brentford,0.15,,0.23700421937172342,0.24720000000000003
Brentford,0.07,,0.15079456223617613,0.1516
Brentford,0.11,,0.0690941386804988,0.10640000000000001
Brentford,0.19,,0.18507475966934733,0.2588
Brentford,0.07,,0.1431351342845867,0.1472
Brentford,0.19,,0.1762356377126942,0.25439999999999996
Brentford,1.0,,2.9251780572585093,2.16
Brentford,11.0,,18.05251598346705,18.68
Brentford,4.0,,7.064465065853653,6.36
Brentford,33.3,,20.17457308617672,32.839130434782604
Brentford,0.88,,0.8896257640154088,1.1756
Brentford,0.24,,0.4144807997161429,0.42879999999999996
Brentford,0.11,,0.11157691120758141,0.11695652173913043
Brentford,0.43,,0.2838159881886768,0.3690909090909091
Brentford,15.8,,4.866437448353279,15.969565217391303
Brentford,0.0,,1.8193405398660254,0.68
Brentford,0.0,,0.6000000000000001,0.12
Brentford,0.0,,0.6000000000000001,0.12
Brentford,1.2,,2.9572622474173644,2.404
Brentford,1.2,,2.737991964926121,2.3080000000000003
Brentford,0.11,,0.08379110105853001,0.12130434782608696
Brentford,0.0,,1.1306635220082055,-0.244
Brentford,0.0,,1.1491736161259531,-0.2679999999999999
Brentford,327.0,,388.828123982821,500.32
Brentford,462.0,,488.7837354086161,669.96
Brentford,73.2,,7.09700641115675,73.1
Brentford,5565.0,,8311.425631422486,9016.12
Brentford,1897.0,,4585.871831687697,3533.96
Brentford,169.0,,159.38712829669362,223.56
Brentford,208.0,,181.86388683115,263.84
Brentford,85.6,,7.695236621876332,84.76
Brentford,131.0,,197.12409796876688,208.92
Brentford,167.0,,217.76614368017206,256.52
Brentford,78.4,,10.649519550978189,78.032
Brentford,27.0,,79.8573102477162,55.24
Brentford,62.0,,164.45559684405188,110.68
Brentford,50.5,,8.71735433871233,50.468
Brentford,1.0,,1.503329637837291,1.52
Brentford,1.5,,1.401689456810364,1.716
Brentford,1.1,,1.4152973774676,1.584
Brentford,-0.1,,0.8467978900934193,-0.196
Brentford,11.0,,11.405408073950417,13.2
Brentford,29.0,,31.842215165824545,38.48
Brentford,10.0,,11.036001691433965,13.28
Brentford,2.0,,5.277941517927862,4.24
Brentford,40.0,,40.021327647476504,51.04
Brentford,428.0,,431.56852681043983,597.32
Brentford,49.0,,98.1736047350135,69.84
Brentford,8.0,,33.569728427061584,18.52
Brentford,1.0,,3.818813079129867,2.8
Brentford,3.0,,5.635601121442149,4.52
Brentford,16.0,,30.57466271277575,27.68
Brentford,15.0,,29.837057495671385,27.2
Brentford,0.0,,16.468454693747073,7.28
Brentford,0.0,,7.669854409743817,3.08
Brentford,0.0,,4.485903847981289,2.04
Brentford,0.0,,1.190238071423808,0.4
Brentford,327.0,,388.828123982821,500.32
Brentford,2.0,,2.4324199198877374,2.8
Brentford,13.0,,8.870926295113343,14.12
Brentford,26.0,,24.868789006838806,31.96
Brentford,2.26,,1.006614457807291,1.9968000000000001
Brentford,20.0,,17.04484281730596,22.12
Brentford,0.0,,8.26095232605378,4.08
Brentford,1.0,,1.5999999999999999,1.32
Brentford,2.0,,2.160246899469287,2.2
Brentford,1.0,,2.0960279896349987,1.68
Brentford,0.0,,0.7118052168020874,0.56
Brentford,3.0,,2.9337120967584167,3.24
Brentford,0.13,,0.2265884669027383,0.23440000000000003
Brentford,2.0,,2.227105745132009,2.28
Brentford,0.0,,0.6782329983125267,0.28
Brentford,0.0,,0.33166247903553997,0.12
Brentford,0.0,,0.5567764362830022,0.32
Brentford,0.0,,0.5228129047119374,0.24
Brentford,0.0,,0.0,0.0
Brentford,704.0,,565.259601127364,844.8
Brentford,32.0,,253.19309495587225,115.08
Brentford,132.0,,379.2844447113538,317.24
Brentford,281.0,,246.7461448533695,328.92
Brentford,177.0,,156.81642133399166,205.84
Brentford,24.0,,33.742900487855714,38.6
Brentford,704.0,,565.2156461623003,844.68
Brentford,17.0,,18.63044103968914,22.48
